Airfoil: 20-32C

Re: 50000

-7.474414831157174, -0.24187514775328856
-6.884170033103294, -0.23621791242150447
-6.240943934803345, -0.24032285757078697
-5.545564369073669, -0.24732541106073902
-4.908133100488134, -0.25601823608274876
-4.290017930950645, -0.24877421523107413
-3.8650637518936204, -0.23428617352772463
-3.3725032261684333, -0.14856526011624016
-3.0537875918756665, -0.07250304117365536
-2.474304620434271, 0.045011074864623746
-1.945526408993997, 0.11855800878926614
-1.489183568983897, 0.1617202996971614
-1.2284162318352685, 0.33799147375458016
-0.9386747461145717, 0.49554892727850586
2.538223082533804, 0.9030251001852103
3.2625767968355497, 0.9788458517660725
4.878690417188778, 1.120077428666872
5.476201747741683, 1.1555999605469363
6.102043356898392, 1.1745034054360686
6.391784842619089, 1.1058576840321033
6.594603882623577, 1.0563568748789924
7.289983448353251, 1.0153074233861688
7.521776636929811, 0.915702136675641
7.695621528362228, 0.8957810793335356

Re: 200000

-8.558875820568929, -0.163777703904757
-8.001123460556585, -0.2373045155492557
-6.776965683386636, -0.23247516831480586
-6.501711271951972, -0.22704215267604977
-5.661460963361948, -0.09101553890571301
-5.168900437636762, -0.014550874360257371
-4.36728232714283, 0.061108898979456816
-4.154805237614319, 0.10376813288376341
-3.691218860461202, 0.16268616914405132
-1.7209767575604555, 0.4176757031230023
-0.6282374399852522, 0.5691102342603935
-0.13981607834178966, 0.6277523078215699
0.3579184024855522, 0.6733292723466903
0.8577224653537563, 0.7309796049579351
1.3213088425068733, 0.7868189323562612
1.640024476799642, 0.8209261971995632
7.138674005810223, 1.387837903110257
7.679524779155525, 1.4380094549348192
8.159207905515345, 1.4638330477856967
9.080585830107164, 1.508142308661774
9.810734374123324, 1.5209620304114044
10.341927097944605, 1.509108178108664
11.276826291870059, 1.477234486361295
11.983795517028561, 1.451156011295266
12.572936537993979, 1.431033731151725
13.306948301819745, 1.4294239487402418
13.635321985636537, 1.4414973168263663

Re: 100000

-6.675556163384392, -0.23428617352772463
-5.690435111934018, -0.2572255728913613
-4.966081397632273, -0.140113902455953
-4.531469169051226, -0.03749027372389402
-4.212753534758459, 0.01804721947227894
-3.691218860461202, 0.11718298631279067
-3.5289636284576105, 0.17524247195362097
-2.9378909975873864, 0.2549726951052287
-2.5612270661504795, 0.2993566958789815
-2.0252053175671882, 0.35791253109668575
-1.6050801632721772, 0.403187661419653
-1.489183568983897, 0.4466517865297013
2.1905332996689673, 0.8730831473316214
2.6251455282500142, 0.9223424891230096
5.058974008303878, 1.1758832189316257
6.565629734051505, 1.3255929831995703
7.933209546653202, 1.4533292175507684
8.304078648375693, 1.480132094701965
9.245738476967965, 1.524803556620626
9.839708522695393, 1.5233547524502908
10.940726168434047, 1.493412799596702
12.592252637042026, 1.3738864555440686

