Results_Name,VSPAERO_History
Results_Timestamp,1686648167
Results_Date,6,13,2023
Results_Time,11,22,47
Alpha,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,9.406795012999999428e-03,1.074874389800000059e-02,1.086287853600000075e-02
CDo,1.752742788800000159e-02,1.791436794199999932e-02,1.793511402500000060e-02
CDt,9.711370864000000436e-03,1.103203269300000004e-02,1.123020295999999953e-02
CDtot,2.693422290199999972e-02,2.866311184000000165e-02,2.879799256200000004e-02
CDtott,2.723879875300000072e-02,2.894640063500000110e-02,2.916531698499999839e-02
CFx,2.693422290199999972e-02,2.866311184000000165e-02,2.879799256200000004e-02
CFxi,9.406795012999999428e-03,1.074874389800000059e-02,1.086287853600000075e-02
CFxo,1.752742788800000159e-02,1.791436794199999932e-02,1.793511402500000060e-02
CFy,-1.625021882000000093e-03,-7.018581999999999948e-06,-6.534018999999999926e-06
CFyi,-1.629265588999999998e-03,-6.988431999999999907e-06,-6.596181000000000162e-06
CFyo,4.243706999999999686e-06,-3.015000000000000197e-08,6.216199999999999772e-08
CFz,5.962090161619999495e-01,6.400509863050000137e-01,6.425170322269999623e-01
CFzi,5.960633729240000234e-01,6.400588832989999588e-01,6.425329718400000223e-01
CFzo,1.456432380000000125e-04,-7.896993999999999357e-06,-1.593961300000000124e-05
CL,5.962090161619999495e-01,6.400509863050000137e-01,6.425170322269999623e-01
CLi,5.960633729240000234e-01,6.400588832989999588e-01,6.425329718400000223e-01
CLo,1.456432380000000125e-04,-7.896993999999999357e-06,-1.593961300000000124e-05
CMx,1.099443075199999995e-02,1.821248179999999906e-04,4.530443300000000311e-05
CMxi,1.103023393300000057e-02,1.808278359999999885e-04,4.546910399999999901e-05
CMxo,-3.580318099999999767e-05,1.296981999999999960e-06,-1.646710000000000059e-07
CMy,-1.644770766839999954e-01,-1.624330158410000058e-01,-1.625441475939999880e-01
CMyi,-1.733382022659999966e-01,-1.715290121620000052e-01,-1.716539778919999870e-01
CMyo,8.861125582999999917e-03,9.095996320999999440e-03,9.109830298000000728e-03
CMz,-6.681267179999999563e-04,-1.930537100000000053e-05,-3.578567000000000071e-06
CMzi,-5.930014699999999750e-04,-1.833239099999999956e-05,-3.217537999999999890e-06
CMzo,-7.512524799999999484e-05,-9.729799999999999153e-07,-3.610290000000000229e-07
CS,-1.625021882000000093e-03,-7.018581999999999948e-06,-6.534018999999999926e-06
CSi,-1.629265588999999998e-03,-6.988431999999999907e-06,-6.596181000000000162e-06
CSo,4.243706999999999686e-06,-3.015000000000000197e-08,6.216199999999999772e-08
E,1.001779087557999937e+00,1.010906323633000037e+00,1.008032845653999976e+00
FC_AoA_,0.000000000000000000e+00
FC_Beta_,0.000000000000000000e+00
FC_Bref_,1.606230000000000047e+00
FC_Cref_,1.338399999999999868e-01
FC_Mach_,2.999999999999999889e-01
FC_Pitch_Rate,0.000000000000000000e+00
FC_ReCref_,1.250000000000000000e+05
FC_Rho_,1.225000000000000089e+00
FC_Roll__Rate,0.000000000000000000e+00
FC_Sref_,2.149780000000000024e-01
FC_Vinf_,3.000000000000000000e+01
FC_Xcg_,2.700000000000000178e-01
FC_Yaw___Rate,0.000000000000000000e+00
FC_Ycg_,0.000000000000000000e+00
FC_Zcg_,0.000000000000000000e+00
L/D,2.213033489398399922e+01,2.233040455897300092e+01,2.231172782132999899e+01
Mach,2.999999999999999889e-01,2.999999999999999889e-01,2.999999999999999889e-01
T/QS,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
WakeIter,1,2,3
Results_Name,VSPAERO_History
Results_Timestamp,1686648167
Results_Date,6,13,2023
Results_Time,11,22,47
Alpha,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,1.267199246900000027e-02,1.408624271699999986e-02,1.431501785400000025e-02
CDo,1.837669960300000044e-02,1.878071846499999864e-02,1.882067697799999842e-02
CDt,1.294107463900000081e-02,1.430214414900000085e-02,1.476710984099999929e-02
CDtot,3.104869207199999898e-02,3.286696118199999850e-02,3.313569483199999693e-02
