Results_Name,VSPAERO_History
Results_Timestamp,1686665479
Results_Date,6,13,2023
Results_Time,16,11,19
Alpha,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,8.375238553000000086e-03,9.556381747999999690e-03,9.683766914000000586e-03
CDo,1.768588516899999991e-02,1.810920885600000169e-02,1.813718054900000098e-02
CDt,1.011136589799999964e-02,1.149712883200000070e-02,1.163040364800000011e-02
CDtot,2.606112372199999999e-02,2.766559060399999964e-02,2.782094746300000157e-02
CDtott,2.779725106799999998e-02,2.960633768800000065e-02,2.976758419699999936e-02
CFx,2.606112372199999999e-02,2.766559060399999964e-02,2.782094746300000157e-02
CFxi,8.375238553000000086e-03,9.556381747999999690e-03,9.683766914000000586e-03
CFxo,1.768588516899999991e-02,1.810920885600000169e-02,1.813718054900000098e-02
CFy,-6.750081498000000402e-03,-8.575302400000000278e-05,-3.500234499999999835e-05
CFyi,-6.770492886999999842e-03,-8.505115400000000402e-05,-3.516911299999999729e-05
CFyo,2.041138899999999899e-05,-7.018710000000000517e-07,1.667680000000000015e-07
CFz,6.002819087590000047e-01,6.464019408829999591e-01,6.495744856590000005e-01
CFzi,6.001320611789999759e-01,6.464106274280000397e-01,6.495928495499999622e-01
CFzo,1.498475800000000037e-04,-8.686545999999999756e-06,-1.836389100000000087e-05
CL,6.002819087590000047e-01,6.464019408829999591e-01,6.495744856590000005e-01
CLi,6.001320611789999759e-01,6.464106274280000397e-01,6.495928495499999622e-01
CLo,1.498475800000000037e-04,-8.686545999999999756e-06,-1.836389100000000087e-05
CMx,1.100281865099999971e-02,2.177582249999999932e-04,5.395530200000000039e-05
CMxi,1.103967297099999953e-02,2.163570979999999901e-04,5.417010999999999897e-05
CMxo,-3.685431999999999852e-05,1.401126999999999918e-06,-2.148080000000000002e-07
CMy,-7.395067246000000538e-02,-6.367101839300000343e-02,-6.330106317900000001e-02
CMyi,-8.967574427799999970e-02,-7.977458967200000417e-02,-7.943512380299999620e-02
CMyo,1.572507181800000126e-02,1.610357127900000074e-02,1.613406062399999966e-02
CMz,-5.428217819999999914e-04,-2.905756499999999866e-05,-4.179791999999999977e-06
CMzi,-4.696119469999999975e-04,-2.783427000000000007e-05,-3.735412000000000176e-06
CMzo,-7.320983499999999394e-05,-1.223295000000000076e-06,-4.443800000000000127e-07
CS,-6.750081498000000402e-03,-8.575302400000000278e-05,-3.500234499999999835e-05
CSi,-6.770492886999999842e-03,-8.505115400000000402e-05,-3.516911299999999729e-05
CSo,2.041138899999999899e-05,-7.018710000000000517e-07,1.667680000000000015e-07
E,1.140578659663999961e+00,1.159717619432999891e+00,1.155758014237999953e+00
FC_AoA_,0.000000000000000000e+00
FC_Beta_,0.000000000000000000e+00
FC_Bref_,1.606230000000000047e+00
FC_Cref_,1.338399999999999868e-01
FC_Mach_,2.999999999999999889e-01
FC_Pitch_Rate,0.000000000000000000e+00
FC_ReCref_,1.250000000000000000e+05
FC_Rho_,1.225000000000000089e+00
FC_Roll__Rate,0.000000000000000000e+00
FC_Sref_,2.149780000000000024e-01
FC_Vinf_,3.000000000000000000e+01
FC_Xcg_,3.250000000000000111e-01
FC_Yaw___Rate,0.000000000000000000e+00
FC_Ycg_,0.000000000000000000e+00
FC_Zcg_,0.000000000000000000e+00
L/D,2.302786585795299956e+01,2.336514830563999823e+01,2.334905561389999917e+01
Mach,2.999999999999999889e-01,2.999999999999999889e-01,2.999999999999999889e-01
T/QS,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
WakeIter,1,2,3
Results_Name,VSPAERO_History
Results_Timestamp,1686665479
Results_Date,6,13,2023
Results_Time,16,11,19
Alpha,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,1.118992471500000058e-02,1.249902619500000041e-02,1.271089988499999983e-02
CDo,1.857819065400000136e-02,1.902531898399999893e-02,1.907094011000000019e-02
CDt,1.331758146699999965e-02,1.489784510600000028e-02,1.525976778400000081e-02
CDtot,2.976811536899999847e-02,3.152434517899999761e-02,3.178183999599999698e-02
CDtott,3.189577212099999753e-02,3.392316409099999791e-02,3.433070789400000100e-02
CFx,1.758988542599999871e-02,1.858032170100000144e-02,1.875853238800000156e-02
CFxi,-9.882951499999999799e-04,-4.476908539999999940e-04,-3.153954359999999908e-04
CFxo,1.857818057499999870e-02,1.902801255500000122e-02,1.907392782299999895e-02
CFy,-8.006315195000000481e-03,-1.867296450000000051e-04,-7.272942199999999540e-05
CFyi,-8.033446689999999488e-03,-1.860250140000000070e-04,-7.295483699999999602e-05
CFyo,2.713149399999999960e-05,-7.046310000000000050e-07,2.254150000000000104e-07
CFz,6.979501085860000398e-01,7.418377172000000241e-01,7.463821490830000460e-01
CFzi,6.977874017809999607e-01,7.418260003379999468e-01,7.463868854730000280e-01
CFzo,1.627068049999999923e-04,1.171686200000000064e-05,-4.736390000000000234e-06
CL,6.975368215739999878e-01,7.414004603960000495e-01,7.459410899349999680e-01
CLi,6.976983735089999916e-01,7.417208299280000361e-01,7.462787115440000507e-01
CLo,-1.615519349999999896e-04,-3.203695309999999739e-04,-3.376216089999999775e-04
CMx,1.297667485600000059e-02,4.345691929999999804e-04,1.354569719999999908e-04
CMxi,1.302317694999999970e-02,4.330988040000000191e-04,1.357621479999999970e-04
CMxo,-4.650209400000000011e-05,1.470389000000000052e-06,-3.051759999999999793e-07
CMy,-6.454589379500000335e-02,-5.633170601899999824e-02,-5.563787555799999673e-02
CMyi,-8.102785522399999496e-02,-7.321307173900000465e-02,-7.256751394799999810e-02
CMyo,1.648196142899999855e-02,1.688136571999999946e-02,1.692963839000000137e-02
CMz,-5.365592829999999910e-04,-4.199736000000000273e-05,-6.796182000000000180e-06
CMzi,-4.342805959999999996e-04,-3.872398000000000257e-05,-5.572775999999999582e-06
CMzo,-1.022786870000000050e-04,-3.273380000000000159e-06,-1.223405999999999964e-06
CS,-8.006315195000000481e-03,-1.867296450000000051e-04,-7.272942199999999540e-05
CSi,-8.033446689999999488e-03,-1.860250140000000070e-04,-7.295483699999999602e-05
CSo,2.713149399999999960e-05,-7.046310000000000050e-07,2.254150000000000104e-07
E,1.153817246310000044e+00,1.167437239705999996e+00,1.162129639246000101e+00
FC_AoA_,1.000000000000000000e+00
FC_Beta_,0.000000000000000000e+00
FC_Bref_,1.606230000000000047e+00
FC_Cref_,1.338399999999999868e-01
FC_Mach_,2.999999999999999889e-01
FC_Pitch_Rate,0.000000000000000000e+00
FC_ReCref_,1.250000000000000000e+05
FC_Rho_,1.225000000000000089e+00
FC_Roll__Rate,0.000000000000000000e+00
FC_Sref_,2.149780000000000024e-01
FC_Vinf_,3.000000000000000000e+01
FC_Xcg_,3.250000000000000111e-01
FC_Yaw___Rate,0.000000000000000000e+00
FC_Ycg_,0.000000000000000000e+00
FC_Zcg_,0.000000000000000000e+00
L/D,2.343777443967200114e+01,2.352850870364400038e+01,2.348129345695700110e+01
Mach,2.999999999999999889e-01,2.999999999999999889e-01,2.999999999999999889e-01
T/QS,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
WakeIter,1,2,3
Results_Name,VSPAERO_History
Results_Timestamp,1686665479
Results_Date,6,13,2023
Results_Time,16,11,19
Alpha,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
AnalysisMethod,0
Beta,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
CDi,8.399138832000000582e-03,9.541024260999999770e-03,9.676236302999999608e-03
CDo,1.768383442799999899e-02,1.810829699499999848e-02,1.813873790599999924e-02
CDt,1.003284314899999946e-02,1.137347084900000062e-02,1.152910310199999934e-02
CDtot,2.608297325999999958e-02,2.764932125599999999e-02,2.781497420999999928e-02
CDtott,2.771667757699999846e-02,2.948176784299999867e-02,2.966784100800000032e-02
CFx,2.592807337799999876e-02,2.761319862500000166e-02,2.777890950000000067e-02
CFxi,8.246508643000000083e-03,9.507597491999999345e-03,9.642852442999999898e-03
CFxo,1.768156473499999867e-02,1.810560113299999885e-02,1.813605705699999904e-02
CFy,-9.101830980999999973e-03,-2.310756124000000120e-03,-2.308883447999999800e-03
CFyi,-8.817475848000000047e-03,-1.998281585000000020e-03,-1.997003336000000191e-03
CFyo,-2.843551329999999809e-04,-3.124745389999999913e-04,-3.118801129999999844e-04
CFz,5.991825287959999802e-01,6.464336017309999516e-01,6.497437528180000088e-01
CFzi,5.990328745590000059e-01,6.464418791710000445e-01,6.497621026280000489e-01
CFzo,1.496542369999999888e-04,-8.277440000000000831e-06,-1.834980899999999967e-05
CL,5.991825287959999802e-01,6.464336017309999516e-01,6.497437528180000088e-01
CLi,5.990328745590000059e-01,6.464418791710000445e-01,6.497621026280000489e-01
CLo,1.496542369999999888e-04,-8.277440000000000831e-06,-1.834980899999999967e-05
CMx,1.413225682200000034e-02,3.232499707999999996e-03,3.173703022999999849e-03
CMxi,1.415816390300000081e-02,3.219277648999999998e-03,3.162185388999999829e-03
CMxo,-2.590708099999999937e-05,1.322206000000000059e-05,1.151763500000000039e-05
CMy,-7.399283795500000149e-02,-6.368410337400000343e-02,-6.333785533100000364e-02
CMyi,-8.971582797799999842e-02,-7.978269574400000119e-02,-7.947113635499999940e-02
CMyo,1.572299002399999909e-02,1.609859237000000123e-02,1.613328102300000053e-02
CMz,-3.536838090000000013e-04,1.902564079999999986e-04,2.102423469999999931e-04
CMzi,-2.547134020000000189e-04,2.174806549999999965e-04,2.385864840000000132e-04
CMzo,-9.897040800000000559e-05,-2.722424800000000064e-05,-2.834413699999999977e-05
CS,-8.647937452999999997e-03,-1.828487419000000011e-03,-1.823722975000000067e-03
CSi,-8.672211483000000221e-03,-1.832046782000000063e-03,-1.828408202999999956e-03
