Results_Name,VSPAERO_History
Results_Timestamp,1686657774
Results_Date,6,13,2023
Results_Time,14,2,54
Alpha,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,9.812633179000000011e-03,9.877604107999999467e-03,9.854496328999999902e-03
CDo,3.070193832700000153e-02,3.083625800699999961e-02,3.082533329899999827e-02
CDt,1.061770057099999977e-02,1.044186078399999933e-02,1.002959401100000057e-02
CDtot,4.051457150599999807e-02,4.071386211499999908e-02,4.067982962899999860e-02
CDtott,4.131963889799999956e-02,4.127811879200000283e-02,4.085492731100000274e-02
CFx,4.051457150599999807e-02,4.071386211499999908e-02,4.067982962899999860e-02
CFxi,9.812633179000000011e-03,9.877604107999999467e-03,9.854496328999999902e-03
CFxo,3.070193832700000153e-02,3.083625800699999961e-02,3.082533329899999827e-02
CFy,-4.717464810000000222e-04,1.560098470000000070e-04,4.792018300000000259e-05
CFyi,-4.781911580000000085e-04,1.562175960000000024e-04,4.809051400000000141e-05
CFyo,6.444676999999999893e-06,-2.077489999999999897e-07,-1.703319999999999929e-07
CFz,6.201553108230000166e-01,6.268942424440000494e-01,6.260211962280000098e-01
CFzi,6.202992967360000387e-01,6.270167129810000350e-01,6.261315703850000025e-01
CFzo,-1.439859129999999953e-04,-1.224705370000000071e-04,-1.103741569999999934e-04
CL,6.201553108230000166e-01,6.268942424440000494e-01,6.260211962280000098e-01
CLi,6.202992967360000387e-01,6.270167129810000350e-01,6.261315703850000025e-01
CLo,-1.439859129999999953e-04,-1.224705370000000071e-04,-1.103741569999999934e-04
CMx,1.797235150999999939e-03,-2.352174850000000080e-04,-7.011880500000000399e-05
CMxi,1.822004057000000104e-03,-2.381692820000000008e-04,-7.067018099999999436e-05
CMxo,-2.476890599999999904e-05,2.951796999999999972e-06,5.513760000000000001e-07
CMy,6.324729001999999933e-02,1.181763852119999958e-01,1.136343405130000039e-01
CMyi,4.887612308300000319e-02,1.040568089429999982e-01,9.950868890599999517e-02
CMyo,1.437116693699999961e-02,1.411957626899999936e-02,1.412565160599999967e-02
CMz,1.844983460000000077e-04,2.657697799999999964e-05,1.138873000000000031e-05
CMzi,2.072586079999999965e-04,2.376877599999999952e-05,1.072931400000000073e-05
CMzo,-2.276026199999999896e-05,2.808202000000000121e-06,6.594160000000000067e-07
CS,-4.717464810000000222e-04,1.560098470000000070e-04,4.792018300000000259e-05
CSi,-4.781911580000000085e-04,1.562175960000000024e-04,4.809051400000000141e-05
CSo,6.444676999999999893e-06,-2.077489999999999897e-07,-1.703319999999999929e-07
E,1.040033923493999923e+00,1.055691707088999953e+00,1.055181731875000084e+00
FC_AoA_,0.000000000000000000e+00
